type,title,director,country,release_year
Movie,The Water Diviner,Russell Crowe,"Australia, United States",2014
Movie,Chris Brown: Welcome to My Life,Andrew Sandler,United States,2017
Movie,13TH,Ava DuVernay,United States,2016
Movie,Russell Peters: Almost Famous,Dave Higby,United States,2016
TV Show,StoryBots Super Songs,,United States,2016
Movie,The Siege of Jadotville,Richie Smyth,"Ireland, South Africa",2016
Movie,Love for Sale,Andibachtiar Yusuf,Indonesia,2018
Movie,Jackpot,Dustin Nguyen,Vietnam,2015
Movie,Seven in Heaven,Chris Eigeman,United States,2018
TV Show,ID-0,,Japan,2017
Movie,Kung Fu Yoga,Stanley Tong,"China, India, Nepal",2017
Movie,The Death and Life of Marsha P. Johnson,David France,United States,2017
TV Show,Legend Quest: Masters of Myth,,Mexico,2019
TV Show,My Country: The New Age,,South Korea,2019
Movie,Noblemen,Vandana Kataria,India,2019
Movie,Cahaya Dari Timur Beta Maluku,Angga Dwimas Sasongko,Indonesia,2014
TV Show,Dancing Queen,,,2018
Movie,Emma' (Mother),Riri Riza,Indonesia,2016
TV Show,Empire Games,,"Czech Republic, United States",2018
TV Show,LOST SONG,,Japan,2018
Movie,Malevolent,Olaf de Fleur,United Kingdom,2018
Movie,Private Life,Tamara Jenkins,United States,2018
Movie,Super Monsters Save Halloween,,,2018
TV Show,YG Future Strategy Office,,South Korea,2018
Movie,A Plastic Ocean,,"United Kingdom, Hong Kong",2016
Movie,Brother in Love,Onur Bilgetay,Turkey,2019
Movie,In the Tall Grass,Vincenzo Natali,Canada,2019
Movie,Kids on the Block,Tugçe Soysop,Turkey,2019
TV Show,Raising Dion,,United States,2019
